    Z      	  a(m)    	   a'    	  b(m) 	   b'
3.84E-3	2.139596E-4	-4.951992E-2	4.684699E-4	7.534004E-2
3.89E-3	2.114839E-4	-4.951154E-2	4.722371E-4	7.534842E-2
3.94E-3	2.090085E-4	-4.950319E-2	4.760047E-4	7.535677E-2
3.99E-3	2.065335E-4	-4.949485E-2	4.797728E-4	7.536511E-2
4.04E-3	2.04059E-4	-4.948652E-2	4.835412E-4	7.537344E-2
4.09E-3	2.015849E-4	-4.947821E-2	4.873101E-4	7.538175E-2
4.14E-3	1.991112E-4	-4.946992E-2	4.910794E-4	7.539004E-2
4.19E-3	1.966379E-4	-4.946164E-2	4.948491E-4	7.539832E-2
4.24E-3	1.94165E-4	-4.945337E-2	4.986192E-4	7.540658E-2
4.29E-3	1.916926E-4	-4.944513E-2	5.023898E-4	7.541483E-2
4.34E-3	1.892205E-4	-4.943689E-2	5.061607E-4	7.542306E-2
4.39E-3	1.867489E-4	-4.942868E-2	5.099321E-4	7.543127E-2
4.44E-3	1.842776E-4	-4.942047E-2	5.137038E-4	7.543948E-2
4.49E-3	1.818068E-4	-4.941229E-2	5.17476E-4	7.544766E-2
4.54E-3	1.793364E-4	-4.940412E-2	5.212486E-4	7.545583E-2
4.59E-3	1.768664E-4	-4.939596E-2	5.250216E-4	7.546399E-2
4.64E-3	1.743968E-4	-4.938782E-2	5.28795E-4	7.547213E-2
4.69E-3	1.719276E-4	-4.937969E-2	5.325688E-4	7.548025E-2
4.74E-3	1.694588E-4	-4.937158E-2	5.36343E-4	7.548836E-2
4.79E-3	1.669905E-4	-4.936349E-2	5.401176E-4	7.549646E-2
4.84E-3	1.645225E-4	-4.93554E-2	5.438927E-4	7.550454E-2
4.89E-3	1.620549E-4	-4.934734E-2	5.476681E-4	7.55126E-2
4.94E-3	1.595878E-4	-4.933929E-2	5.514439E-4	7.552065E-2
4.99E-3	1.57121E-4	-4.933125E-2	5.552202E-4	7.552869E-2
5.04E-3	1.546546E-4	-4.932323E-2	5.589968E-4	7.553671E-2
