    Z      	  a(m)    	   a'    	  b(m) 	   b'
1.76E-4	1.900067E-4	7.588576E-5	1.900067E-4	7.588576E-5
1.77E-4	1.900068E-4	7.631691E-5	1.900068E-4	7.631691E-5
1.78E-4	1.900068E-4	7.674806E-5	1.900068E-4	7.674806E-5
1.79E-4	1.900069E-4	7.717921E-5	1.900069E-4	7.717921E-5
1.8E-4	1.90007E-4	7.761036E-5	1.90007E-4	7.761036E-5
1.81E-4	1.900071E-4	7.804152E-5	1.900071E-4	7.804152E-5
1.82E-4	1.900071E-4	7.847267E-5	1.900071E-4	7.847267E-5
1.83E-4	1.900072E-4	7.890382E-5	1.900072E-4	7.890382E-5
1.84E-4	1.900073E-4	7.933497E-5	1.900073E-4	7.933497E-5
1.85E-4	1.900074E-4	7.976612E-5	1.900074E-4	7.976612E-5
1.86E-4	1.900075E-4	8.019727E-5	1.900075E-4	8.019727E-5
1.87E-4	1.900075E-4	8.062842E-5	1.900075E-4	8.062842E-5
1.88E-4	1.900076E-4	8.105957E-5	1.900076E-4	8.105957E-5
1.89E-4	1.900077E-4	8.149072E-5	1.900077E-4	8.149072E-5
1.9E-4	1.900078E-4	8.192187E-5	1.900078E-4	8.192187E-5
1.91E-4	1.900079E-4	8.235302E-5	1.900079E-4	8.235302E-5
1.92E-4	1.900079E-4	8.278416E-5	1.900079E-4	8.278416E-5
1.93E-4	1.90008E-4	8.321531E-5	1.90008E-4	8.321531E-5
1.94E-4	1.900081E-4	8.364646E-5	1.900081E-4	8.364646E-5
1.95E-4	1.900082E-4	8.407761E-5	1.900082E-4	8.407761E-5
1.96E-4	1.900083E-4	8.450876E-5	1.900083E-4	8.450876E-5
1.97E-4	1.900084E-4	8.49399E-5	1.900084E-4	8.49399E-5
1.98E-4	1.900085E-4	8.537105E-5	1.900085E-4	8.537105E-5
1.99E-4	1.900085E-4	8.580219E-5	1.900085E-4	8.580219E-5
2E-4	1.900086E-4	8.623334E-5	1.900086E-4	8.623334E-5
2.01E-4	1.900087E-4	8.666449E-5	1.900087E-4	8.666449E-5
2.02E-4	1.900088E-4	8.709563E-5	1.900088E-4	8.709563E-5
