    Z      	  a(m)    	   a'    	  b(m) 	   b'
3.22E-3	2.494209E-4	-6.804489E-3	2.523868E-4	7.876541E-3
3.23E-3	2.493529E-4	-6.801954E-3	2.524655E-4	7.879067E-3
3.24E-3	2.492849E-4	-6.799419E-3	2.525443E-4	7.881592E-3
3.25E-3	2.492169E-4	-6.796883E-3	2.526232E-4	7.884118E-3
3.26E-3	2.49149E-4	-6.794348E-3	2.52702E-4	7.886643E-3
3.27E-3	2.49081E-4	-6.791812E-3	2.527809E-4	7.889168E-3
3.28E-3	2.490131E-4	-6.789276E-3	2.528598E-4	7.891692E-3
3.29E-3	2.489453E-4	-6.78674E-3	2.529387E-4	7.894216E-3
3.3E-3	2.488774E-4	-6.784204E-3	2.530177E-4	7.89674E-3
3.31E-3	2.488096E-4	-6.781668E-3	2.530967E-4	7.899264E-3
3.32E-3	2.487418E-4	-6.779131E-3	2.531757E-4	7.901788E-3
3.33E-3	2.48674E-4	-6.776594E-3	2.532547E-4	7.904311E-3
3.34E-3	2.486062E-4	-6.774058E-3	2.533338E-4	7.906834E-3
3.35E-3	2.485385E-4	-6.771521E-3	2.534128E-4	7.909356E-3
3.36E-3	2.484708E-4	-6.768983E-3	2.534919E-4	7.911878E-3
3.37E-3	2.484031E-4	-6.766446E-3	2.535711E-4	7.9144E-3
3.38E-3	2.483355E-4	-6.763909E-3	2.536502E-4	7.916922E-3
3.39E-3	2.482678E-4	-6.761371E-3	2.537294E-4	7.919444E-3
3.4E-3	2.482002E-4	-6.758833E-3	2.538086E-4	7.921965E-3
3.41E-3	2.481327E-4	-6.756295E-3	2.538879E-4	7.924486E-3
3.42E-3	2.480651E-4	-6.753757E-3	2.539671E-4	7.927006E-3
3.43E-3	2.479976E-4	-6.751219E-3	2.540464E-4	7.929527E-3
3.44E-3	2.479301E-4	-6.74868E-3	2.541257E-4	7.932047E-3
3.45E-3	2.478626E-4	-6.746142E-3	2.54205E-4	7.934567E-3
3.46E-3	2.477952E-4	-6.743603E-3	2.542844E-4	7.937086E-3
3.47E-3	2.477277E-4	-6.741064E-3	2.543638E-4	7.939605E-3
3.48E-3	2.476604E-4	-6.738525E-3	2.544432E-4	7.942124E-3
3.49E-3	2.47593E-4	-6.735986E-3	2.545226E-4	7.944643E-3
3.5E-3	2.475256E-4	-6.733447E-3	2.546021E-4	7.947161E-3
3.51E-3	2.474583E-4	-6.730907E-3	2.546816E-4	7.949679E-3
3.52E-3	2.47391E-4	-6.728367E-3	2.547611E-4	7.952197E-3
3.53E-3	2.473237E-4	-6.725827E-3	2.548406E-4	7.954715E-3
3.54E-3	2.472565E-4	-6.723287E-3	2.549202E-4	7.957232E-3
3.55E-3	2.471893E-4	-6.720747E-3	2.549998E-4	7.959749E-3
3.56E-3	2.471221E-4	-6.718207E-3	2.550794E-4	7.962266E-3
3.57E-3	2.470549E-4	-6.715666E-3	2.55159E-4	7.964782E-3
3.58E-3	2.469878E-4	-6.713126E-3	2.552387E-4	7.967298E-3
3.59E-3	2.469206E-4	-6.710585E-3	2.553183E-4	7.969814E-3
3.6059E-3	2.468153E-4	-6.544347E-3	2.554438E-4	7.806022E-3
3.6218E-3	2.467125E-4	-6.378176E-3	2.555666E-4	7.642147E-3
3.6377E-3	2.466124E-4	-6.212072E-3	2.556868E-4	7.478192E-3
3.6536E-3	2.46515E-4	-6.046032E-3	2.558044E-4	7.314159E-3
3.6695E-3	2.464202E-4	-5.880055E-3	2.559194E-4	7.150048E-3
3.6854E-3	2.46328E-4	-5.71414E-3	2.560318E-4	6.985862E-3
3.7013E-3	2.462385E-4	-5.548283E-3	2.561415E-4	6.821602E-3
3.7172E-3	2.461516E-4	-5.382484E-3	2.562487E-4	6.65727E-3
3.7331E-3	2.460673E-4	-5.216742E-3	2.563532E-4	6.492868E-3
3.749E-3	2.459857E-4	-5.051053E-3	2.564552E-4	6.328398E-3
3.7649E-3	2.459067E-4	-4.885417E-3	2.565545E-4	6.163861E-3
3.7808E-3	2.458303E-4	-4.719832E-3	2.566512E-4	5.999259E-3
3.7967E-3	2.457566E-4	-4.554295E-3	2.567452E-4	5.834594E-3
3.8126E-3	2.456855E-4	-4.388806E-3	2.568367E-4	5.669867E-3
