Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
3.36E-3	9.731493E-4	-5.146709E-2	1.233116E-3	1.152939E-1
3.37E-3	9.726347E-4	-5.146656E-2	1.234269E-3	1.152945E-1
3.38E-3	9.7212E-4	-5.146603E-2	1.235422E-3	1.15295E-1
3.39E-3	9.716053E-4	-5.14655E-2	1.236575E-3	1.152955E-1
3.4E-3	9.710907E-4	-5.146497E-2	1.237728E-3	1.15296E-1
3.41E-3	9.70576E-4	-5.146445E-2	1.238881E-3	1.152965E-1
3.42E-3	9.700614E-4	-5.146392E-2	1.240034E-3	1.152971E-1
3.43E-3	9.695468E-4	-5.146339E-2	1.241187E-3	1.152976E-1
3.44E-3	9.690321E-4	-5.146286E-2	1.24234E-3	1.152981E-1
3.45E-3	9.685175E-4	-5.146234E-2	1.243493E-3	1.152986E-1
3.46E-3	9.680029E-4	-5.146181E-2	1.244646E-3	1.152992E-1
3.47E-3	9.674883E-4	-5.146128E-2	1.245799E-3	1.152997E-1
3.48E-3	9.669737E-4	-5.146076E-2	1.246952E-3	1.153002E-1
3.49E-3	9.664591E-4	-5.146023E-2	1.248105E-3	1.153007E-1
3.5E-3	9.659445E-4	-5.145971E-2	1.249258E-3	1.153012E-1
3.51E-3	9.654299E-4	-5.145918E-2	1.250411E-3	1.153018E-1
3.52E-3	9.649153E-4	-5.145865E-2	1.251564E-3	1.153023E-1
3.53E-3	9.644007E-4	-5.145813E-2	1.252717E-3	1.153028E-1
3.54E-3	9.638861E-4	-5.14576E-2	1.25387E-3	1.153033E-1
3.55E-3	9.633715E-4	-5.145708E-2	1.255023E-3	1.153038E-1
3.56E-3	9.62857E-4	-5.145655E-2	1.256176E-3	1.153044E-1
3.57E-3	9.623424E-4	-5.145602E-2	1.257329E-3	1.153049E-1
3.58E-3	9.618278E-4	-5.14555E-2	1.258482E-3	1.153054E-1
3.59E-3	9.613133E-4	-5.145497E-2	1.259635E-3	1.153059E-1
3.6059E-3	9.604996E-4	-5.089907E-2	1.261463E-3	1.145786E-1
3.6218E-3	9.596947E-4	-5.034363E-2	1.263279E-3	1.138502E-1
3.6377E-3	9.588986E-4	-4.978865E-2	1.265083E-3	1.131208E-1
3.6536E-3	9.581114E-4	-4.923413E-2	1.266876E-3	1.123903E-1
3.6695E-3	9.57333E-4	-4.868006E-2	1.268657E-3	1.116588E-1
3.6854E-3	9.565634E-4	-4.812644E-2	1.270427E-3	1.109262E-1
3.7013E-3	9.558026E-4	-4.757327E-2	1.272184E-3	1.101927E-1
3.7172E-3	9.550506E-4	-4.702053E-2	1.273931E-3	1.094581E-1
3.7331E-3	9.543073E-4	-4.646822E-2	1.275665E-3	1.087225E-1
3.749E-3	9.535729E-4	-4.591634E-2	1.277388E-3	1.07986E-1
3.7649E-3	9.528472E-4	-4.536488E-2	1.279099E-3	1.072484E-1
3.7808E-3	9.521303E-4	-4.481384E-2	1.280799E-3	1.065099E-1
3.7967E-3	9.514221E-4	-4.426321E-2	1.282486E-3	1.057703E-1
3.8126E-3	9.507227E-4	-4.371298E-2	1.284162E-3	1.050298E-1
3.8285E-3	9.50032E-4	-4.316316E-2	1.285826E-3	1.042884E-1
3.8444E-3	9.493501E-4	-4.261374E-2	1.287478E-3	1.035459E-1
3.8603E-3	9.486769E-4	-4.206471E-2	1.289119E-3	1.028026E-1
3.8762E-3	9.480124E-4	-4.151606E-2	1.290747E-3	1.020582E-1
3.8921E-3	9.473567E-4	-4.09678E-2	1.292364E-3	1.01313E-1
3.908E-3	9.467097E-4	-4.041991E-2	1.293969E-3	1.005668E-1
3.9239E-3	9.460713E-4	-3.987239E-2	1.295562E-3	9.981968E-2
3.9398E-3	9.454417E-4	-3.932524E-2	1.297144E-3	9.907166E-2
3.9557E-3	9.448208E-4	-3.877845E-2	1.298713E-3	9.832272E-2
3.9716E-3	9.442086E-4	-3.823202E-2	1.30027E-3	9.757287E-2
3.9875E-3	9.43605E-4	-3.768594E-2	1.301816E-3	9.682213E-2
4.0034E-3	9.430101E-4	-3.714021E-2	1.303349E-3	9.60705E-2
4.0193E-3	9.424239E-4	-3.659482E-2	1.304871E-3	9.531799E-2
4.0352E-3	9.418464E-4	-3.604976E-2	1.30638E-3	9.45646E-2
4.0511E-3	9.412776E-4	-3.550504E-2	1.307878E-3	9.381035E-2
4.067E-3	9.407174E-4	-3.496064E-2	1.309363E-3	9.305523E-2
4.0829E-3	9.401658E-4	-3.441656E-2	1.310837E-3	9.229925E-2
4.0988E-3	9.396229E-4	-3.38728E-2	1.312298E-3	9.154243E-2
4.1147E-3	9.390887E-4	-3.332935E-2	1.313748E-3	9.078477E-2
4.1306E-3	9.38563E-4	-3.278621E-2	1.315185E-3	9.002627E-2
4.1465E-3	9.380461E-4	-3.224337E-2	1.316611E-3	8.926695E-2
4.1624E-3	9.375377E-4	-3.170082E-2	1.318024E-3	8.85068E-2
4.1783E-3	9.37038E-4	-3.115857E-2	1.319425E-3	8.774585E-2
4.1942E-3	9.365469E-4	-3.06166E-2	1.320814E-3	8.698408E-2
4.2101E-3	9.360644E-4	-3.007492E-2	1.322191E-3	8.622152E-2
4.226E-3	9.355905E-4	-2.953351E-2	1.323556E-3	8.545816E-2
4.2419E-3	9.351252E-4	-2.899237E-2	1.324909E-3	8.469402E-2
4.2578E-3	9.346685E-4	-2.84515E-2	1.32625E-3	8.39291E-2
