Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
2.1448E-3	1.232964E-4	-4.664313E-3	1.30927E-4	8.680672E-3
2.1607E-3	1.232216E-4	-4.740313E-3	1.310659E-4	8.790571E-3
2.1766E-3	1.231456E-4	-4.816245E-3	1.312065E-4	8.90055E-3
2.1925E-3	1.230684E-4	-4.892108E-3	1.313489E-4	9.010612E-3
2.2084E-3	1.2299E-4	-4.967901E-3	1.31493E-4	9.120757E-3
2.2243E-3	1.229105E-4	-5.043623E-3	1.316389E-4	9.230985E-3
2.2402E-3	1.228297E-4	-5.119273E-3	1.317866E-4	9.3413E-3
2.2561E-3	1.227477E-4	-5.19485E-3	1.31936E-4	9.4517E-3
2.272E-3	1.226645E-4	-5.270353E-3	1.320871E-4	9.562189E-3
2.2879E-3	1.225801E-4	-5.345779E-3	1.322401E-4	9.672766E-3
2.3038E-3	1.224945E-4	-5.42113E-3	1.323947E-4	9.783433E-3
2.3197E-3	1.224077E-4	-5.496402E-3	1.325512E-4	9.894191E-3
2.3356E-3	1.223197E-4	-5.571596E-3	1.327094E-4	1.000504E-2
2.3515E-3	1.222305E-4	-5.646709E-3	1.328693E-4	1.011598E-2
2.3674E-3	1.221401E-4	-5.721741E-3	1.330311E-4	1.022702E-2
2.3833E-3	1.220485E-4	-5.796691E-3	1.331946E-4	1.033816E-2
2.3992E-3	1.219558E-4	-5.871557E-3	1.333598E-4	1.044939E-2
2.4151E-3	1.218618E-4	-5.946339E-3	1.335268E-4	1.056071E-2
2.431E-3	1.217667E-4	-6.021034E-3	1.336956E-4	1.067214E-2
2.4469E-3	1.216704E-4	-6.095643E-3	1.338662E-4	1.078367E-2
2.4628E-3	1.215728E-4	-6.170164E-3	1.340386E-4	1.08953E-2
2.4787E-3	1.214742E-4	-6.244595E-3	1.342127E-4	1.100703E-2
2.4946E-3	1.213743E-4	-6.318936E-3	1.343886E-4	1.111886E-2
2.5105E-3	1.212732E-4	-6.393186E-3	1.345663E-4	1.12308E-2
2.5264E-3	1.21171E-4	-6.467342E-3	1.347457E-4	1.134285E-2
2.5423E-3	1.210675E-4	-6.541405E-3	1.34927E-4	1.1455E-2
2.5582E-3	1.20963E-4	-6.615373E-3	1.3511E-4	1.156726E-2
2.5741E-3	1.208572E-4	-6.689245E-3	1.352948E-4	1.167964E-2
2.59E-3	1.207502E-4	-6.763019E-3	1.354814E-4	1.179212E-2
2.6E-3	1.206827E-4	-6.753479E-3	1.355994E-4	1.180017E-2
2.61E-3	1.206152E-4	-6.743932E-3	1.357174E-4	1.180821E-2
2.62E-3	1.205478E-4	-6.734377E-3	1.358355E-4	1.181624E-2
2.63E-3	1.204805E-4	-6.724814E-3	1.359537E-4	1.182425E-2
2.64E-3	1.204133E-4	-6.715244E-3	1.36072E-4	1.183226E-2
2.65E-3	1.203462E-4	-6.705666E-3	1.361904E-4	1.184026E-2
2.66E-3	1.202792E-4	-6.69608E-3	1.363088E-4	1.184825E-2
2.67E-3	1.202123E-4	-6.686487E-3	1.364274E-4	1.185623E-2
2.68E-3	1.201454E-4	-6.676886E-3	1.36546E-4	1.18642E-2
2.69E-3	1.200787E-4	-6.667277E-3	1.366646E-4	1.187216E-2
2.7E-3	1.200121E-4	-6.657661E-3	1.367834E-4	1.18801E-2
2.71E-3	1.199456E-4	-6.648037E-3	1.369022E-4	1.188804E-2
2.72E-3	1.198791E-4	-6.638405E-3	1.370212E-4	1.189597E-2
2.73E-3	1.198128E-4	-6.628766E-3	1.371402E-4	1.190389E-2
2.74E-3	1.197466E-4	-6.619118E-3	1.372592E-4	1.19118E-2
2.75E-3	1.196804E-4	-6.609463E-3	1.373784E-4	1.19197E-2
2.76E-3	1.196144E-4	-6.599801E-3	1.374976E-4	1.192759E-2
2.77E-3	1.195484E-4	-6.590131E-3	1.376169E-4	1.193546E-2
2.78E-3	1.194826E-4	-6.580453E-3	1.377363E-4	1.194333E-2
2.79E-3	1.194168E-4	-6.570767E-3	1.378558E-4	1.195119E-2
2.8E-3	1.193511E-4	-6.561073E-3	1.379754E-4	1.195904E-2
2.81E-3	1.192856E-4	-6.551372E-3	1.38095E-4	1.196688E-2
2.82E-3	1.192201E-4	-6.541663E-3	1.382147E-4	1.197471E-2
2.83E-3	1.191548E-4	-6.531946E-3	1.383345E-4	1.198253E-2
2.84E-3	1.190895E-4	-6.522222E-3	1.384544E-4	1.199034E-2
2.85E-3	1.190243E-4	-6.51249E-3	1.385743E-4	1.199814E-2
2.86E-3	1.189592E-4	-6.50275E-3	1.386943E-4	1.200593E-2
2.87E-3	1.188943E-4	-6.493002E-3	1.388144E-4	1.201371E-2
2.88E-3	1.188294E-4	-6.483247E-3	1.389346E-4	1.202149E-2
2.89E-3	1.187646E-4	-6.473484E-3	1.390548E-4	1.202925E-2
2.9E-3	1.186999E-4	-6.463713E-3	1.391752E-4	1.2037E-2
2.91E-3	1.186353E-4	-6.453934E-3	1.392956E-4	1.204474E-2
2.92E-3	1.185708E-4	-6.444147E-3	1.394161E-4	1.205248E-2
2.93E-3	1.185064E-4	-6.434353E-3	1.395366E-4	1.20602E-2
2.94E-3	1.184421E-4	-6.424551E-3	1.396573E-4	1.206792E-2
2.95E-3	1.183779E-4	-6.414741E-3	1.39778E-4	1.207562E-2
2.96E-3	1.183138E-4	-6.404924E-3	1.398988E-4	1.208332E-2
2.97E-3	1.182498E-4	-6.395098E-3	1.400197E-4	1.2091E-2
2.98E-3	1.181859E-4	-6.385265E-3	1.401406E-4	1.209868E-2
2.99E-3	1.181221E-4	-6.375424E-3	1.402616E-4	1.210635E-2
3E-3	1.180584E-4	-6.365576E-3	1.403827E-4	1.211401E-2
3.01E-3	1.179948E-4	-6.355719E-3	1.405039E-4	1.212165E-2
3.02E-3	1.179313E-4	-6.345855E-3	1.406252E-4	1.212929E-2
3.03E-3	1.178679E-4	-6.335983E-3	1.407465E-4	1.213692E-2
3.04E-3	1.178046E-4	-6.326103E-3	1.408679E-4	1.214454E-2
3.05E-3	1.177414E-4	-6.316215E-3	1.409894E-4	1.215216E-2
3.06E-3	1.176783E-4	-6.30632E-3	1.411109E-4	1.215976E-2
3.07E-3	1.176153E-4	-6.296416E-3	1.412326E-4	1.216735E-2
3.08E-3	1.175523E-4	-6.286505E-3	1.413543E-4	1.217494E-2
3.09E-3	1.174895E-4	-6.276586E-3	1.414761E-4	1.218251E-2
3.1E-3	1.174268E-4	-6.266659E-3	1.415979E-4	1.219008E-2
3.11E-3	1.173642E-4	-6.256725E-3	1.417199E-4	1.219763E-2
3.12E-3	1.173017E-4	-6.246782E-3	1.418419E-4	1.220518E-2
3.13E-3	1.172393E-4	-6.236832E-3	1.41964E-4	1.221272E-2
3.14E-3	1.171769E-4	-6.226874E-3	1.420862E-4	1.222025E-2
3.15E-3	1.171147E-4	-6.216908E-3	1.422084E-4	1.222777E-2
3.16E-3	1.170526E-4	-6.206934E-3	1.423307E-4	1.223528E-2
3.17E-3	1.169906E-4	-6.196953E-3	1.424531E-4	1.224278E-2
3.18E-3	1.169287E-4	-6.186963E-3	1.425756E-4	1.225027E-2
3.19E-3	1.168668E-4	-6.176966E-3	1.426981E-4	1.225776E-2
3.2E-3	1.168051E-4	-6.166961E-3	1.428207E-4	1.226523E-2
3.21E-3	1.167435E-4	-6.156948E-3	1.429434E-4	1.22727E-2
3.22E-3	1.16682E-4	-6.146927E-3	1.430662E-4	1.228016E-2
3.23E-3	1.166206E-4	-6.136899E-3	1.43189E-4	1.22876E-2
3.24E-3	1.165592E-4	-6.126862E-3	1.433119E-4	1.229504E-2
3.25E-3	1.16498E-4	-6.116818E-3	1.434349E-4	1.230248E-2
3.26E-3	1.164369E-4	-6.106766E-3	1.43558E-4	1.23099E-2
3.27E-3	1.163759E-4	-6.096706E-3	1.436811E-4	1.231731E-2
3.28E-3	1.16315E-4	-6.086638E-3	1.438043E-4	1.232471E-2
